image_path,gt_path
OFRD\train\image_data\1623734232964.png,OFRD\train\gt_image\1623734232964_fillcolor.png
OFRD\train\image_data\1623733098602.png,OFRD\train\gt_image\1623733098602_fillcolor.png
OFRD\train\image_data\1623734232102.png,OFRD\train\gt_image\1623734232102_fillcolor.png
OFRD\train\image_data\1623733098222.png,OFRD\train\gt_image\1623733098222_fillcolor.png
OFRD\train\image_data\1623731189145.png,OFRD\train\gt_image\1623731189145_fillcolor.png
OFRD\train\image_data\1620330542423.png,OFRD\train\gt_image\1620330542423_fillcolor.png
OFRD\train\image_data\1623171164260.png,OFRD\train\gt_image\1623171164260_fillcolor.png
OFRD\train\image_data\1623734173822.png,OFRD\train\gt_image\1623734173822_fillcolor.png
OFRD\train\image_data\1623733100468.png,OFRD\train\gt_image\1623733100468_fillcolor.png
OFRD\train\image_data\1623171164732.png,OFRD\train\gt_image\1623171164732_fillcolor.png
OFRD\train\image_data\1623733099250.png,OFRD\train\gt_image\1623733099250_fillcolor.png
OFRD\train\image_data\1623697245216.png,OFRD\train\gt_image\1623697245216_fillcolor.png
OFRD\train\image_data\1623697244100.png,OFRD\train\gt_image\1623697244100_fillcolor.png
OFRD\train\image_data\1623731186679.png,OFRD\train\gt_image\1623731186679_fillcolor.png
OFRD\train\image_data\1623733103143.png,OFRD\train\gt_image\1623733103143_fillcolor.png
OFRD\train\image_data\1623733102607.png,OFRD\train\gt_image\1623733102607_fillcolor.png
OFRD\train\image_data\1620330541425.png,OFRD\train\gt_image\1620330541425_fillcolor.png
OFRD\train\image_data\1623734229309.png,OFRD\train\gt_image\1623734229309_fillcolor.png
OFRD\train\image_data\1623171101675.png,OFRD\train\gt_image\1623171101675_fillcolor.png
OFRD\train\image_data\1623731185571.png,OFRD\train\gt_image\1623731185571_fillcolor.png
OFRD\train\image_data\1623733105746.png,OFRD\train\gt_image\1623733105746_fillcolor.png
OFRD\train\image_data\1620330545336.png,OFRD\train\gt_image\1620330545336_fillcolor.png
OFRD\train\image_data\1623171160413.png,OFRD\train\gt_image\1623171160413_fillcolor.png
OFRD\train\image_data\1623170260939.png,OFRD\train\gt_image\1623170260939_fillcolor.png
OFRD\train\image_data\1623733108909.png,OFRD\train\gt_image\1623733108909_fillcolor.png
OFRD\train\image_data\1623734176865.png,OFRD\train\gt_image\1623734176865_fillcolor.png
OFRD\train\image_data\1623731219806.png,OFRD\train\gt_image\1623731219806_fillcolor.png
OFRD\train\image_data\1623734158196.png,OFRD\train\gt_image\1623734158196_fillcolor.png
OFRD\train\image_data\1620330541930.png,OFRD\train\gt_image\1620330541930_fillcolor.png
OFRD\train\image_data\1623731187833.png,OFRD\train\gt_image\1623731187833_fillcolor.png
OFRD\train\image_data\1623170252273.png,OFRD\train\gt_image\1623170252273_fillcolor.png
OFRD\train\image_data\1623733104045.png,OFRD\train\gt_image\1623733104045_fillcolor.png
OFRD\train\image_data\1620330542842.png,OFRD\train\gt_image\1620330542842_fillcolor.png
OFRD\train\image_data\1623731220969.png,OFRD\train\gt_image\1623731220969_fillcolor.png
OFRD\train\image_data\1623733102849.png,OFRD\train\gt_image\1623733102849_fillcolor.png
OFRD\train\image_data\1620330543441.png,OFRD\train\gt_image\1620330543441_fillcolor.png
OFRD\train\image_data\1623697284749.png,OFRD\train\gt_image\1623697284749_fillcolor.png
OFRD\train\image_data\1623734159096.png,OFRD\train\gt_image\1623734159096_fillcolor.png
OFRD\train\image_data\1623697222362.png,OFRD\train\gt_image\1623697222362_fillcolor.png
OFRD\train\image_data\1623734160305.png,OFRD\train\gt_image\1623734160305_fillcolor.png
OFRD\train\image_data\1623734199285.png,OFRD\train\gt_image\1623734199285_fillcolor.png
OFRD\train\image_data\1620330541052.png,OFRD\train\gt_image\1620330541052_fillcolor.png
OFRD\train\image_data\1623733076586.png,OFRD\train\gt_image\1623733076586_fillcolor.png
OFRD\train\image_data\1623170263911.png,OFRD\train\gt_image\1623170263911_fillcolor.png
OFRD\train\image_data\1620330541732.png,OFRD\train\gt_image\1620330541732_fillcolor.png
OFRD\train\image_data\1623722178338.png,OFRD\train\gt_image\1623722178338_fillcolor.png
OFRD\train\image_data\1623171143657.png,OFRD\train\gt_image\1623171143657_fillcolor.png
OFRD\train\image_data\1624045586862.png,OFRD\train\gt_image\1624045586862_fillcolor.png
OFRD\train\image_data\1623733116695.png,OFRD\train\gt_image\1623733116695_fillcolor.png
OFRD\train\image_data\1623731218654.png,OFRD\train\gt_image\1623731218654_fillcolor.png
OFRD\train\image_data\1620330542617.png,OFRD\train\gt_image\1620330542617_fillcolor.png
OFRD\train\image_data\1623722259954.png,OFRD\train\gt_image\1623722259954_fillcolor.png
OFRD\train\image_data\1623733105023.png,OFRD\train\gt_image\1623733105023_fillcolor.png
OFRD\train\image_data\1623697278588.png,OFRD\train\gt_image\1623697278588_fillcolor.png
OFRD\train\image_data\1623734173530.png,OFRD\train\gt_image\1623734173530_fillcolor.png
OFRD\train\image_data\1623734155290.png,OFRD\train\gt_image\1623734155290_fillcolor.png
OFRD\train\image_data\1623697245715.png,OFRD\train\gt_image\1623697245715_fillcolor.png
OFRD\train\image_data\1623722259648.png,OFRD\train\gt_image\1623722259648_fillcolor.png
OFRD\train\image_data\1620330542123.png,OFRD\train\gt_image\1620330542123_fillcolor.png
OFRD\train\image_data\1623731190109.png,OFRD\train\gt_image\1623731190109_fillcolor.png
OFRD\train\image_data\1623734157489.png,OFRD\train\gt_image\1623734157489_fillcolor.png
OFRD\train\image_data\1623734167076.png,OFRD\train\gt_image\1623734167076_fillcolor.png
OFRD\train\image_data\1623697284538.png,OFRD\train\gt_image\1623697284538_fillcolor.png
OFRD\train\image_data\1623734229612.png,OFRD\train\gt_image\1623734229612_fillcolor.png
OFRD\train\image_data\1623170260142.png,OFRD\train\gt_image\1623170260142_fillcolor.png
OFRD\train\image_data\1620497403729.png,OFRD\train\gt_image\1620497403729_fillcolor.png
OFRD\train\image_data\1623170273941.png,OFRD\train\gt_image\1623170273941_fillcolor.png
OFRD\train\image_data\1623734173011.png,OFRD\train\gt_image\1623734173011_fillcolor.png
OFRD\train\image_data\1623731190406.png,OFRD\train\gt_image\1623731190406_fillcolor.png
OFRD\train\image_data\1623731221573.png,OFRD\train\gt_image\1623731221573_fillcolor.png
OFRD\train\image_data\1623722260893.png,OFRD\train\gt_image\1623722260893_fillcolor.png
OFRD\train\image_data\1623697281046.png,OFRD\train\gt_image\1623697281046_fillcolor.png
OFRD\train\image_data\1624045587863.png,OFRD\train\gt_image\1624045587863_fillcolor.png
OFRD\train\image_data\1623171168368.png,OFRD\train\gt_image\1623171168368_fillcolor.png
OFRD\train\image_data\1623731185905.png,OFRD\train\gt_image\1623731185905_fillcolor.png
OFRD\train\image_data\1620497376022.png,OFRD\train\gt_image\1620497376022_fillcolor.png
OFRD\train\image_data\1623734168169.png,OFRD\train\gt_image\1623734168169_fillcolor.png
OFRD\train\image_data\1623171166065.png,OFRD\train\gt_image\1623171166065_fillcolor.png
OFRD\train\image_data\1623731192546.png,OFRD\train\gt_image\1623731192546_fillcolor.png
OFRD\train\image_data\1620497402812.png,OFRD\train\gt_image\1620497402812_fillcolor.png
OFRD\train\image_data\1623170252004.png,OFRD\train\gt_image\1623170252004_fillcolor.png
OFRD\train\image_data\1620497376411.png,OFRD\train\gt_image\1620497376411_fillcolor.png
OFRD\train\image_data\1623733099480.png,OFRD\train\gt_image\1623733099480_fillcolor.png
OFRD\train\image_data\1623733113250.png,OFRD\train\gt_image\1623733113250_fillcolor.png
OFRD\train\image_data\1620497375123.png,OFRD\train\gt_image\1620497375123_fillcolor.png
OFRD\train\image_data\1623731188321.png,OFRD\train\gt_image\1623731188321_fillcolor.png
OFRD\train\image_data\1620497370229.png,OFRD\train\gt_image\1620497370229_fillcolor.png
OFRD\train\image_data\1623171163174.png,OFRD\train\gt_image\1623171163174_fillcolor.png
OFRD\train\image_data\1620330543139.png,OFRD\train\gt_image\1620330543139_fillcolor.png
OFRD\train\image_data\1623733094501.png,OFRD\train\gt_image\1623733094501_fillcolor.png
OFRD\train\image_data\1623733103749.png,OFRD\train\gt_image\1623733103749_fillcolor.png
OFRD\train\image_data\1623171166729.png,OFRD\train\gt_image\1623171166729_fillcolor.png
OFRD\train\image_data\1619783797324.png,OFRD\train\gt_image\1619783797324_fillcolor.png
OFRD\train\image_data\1623734156845.png,OFRD\train\gt_image\1623734156845_fillcolor.png
OFRD\train\image_data\1623170278915.png,OFRD\train\gt_image\1623170278915_fillcolor.png
OFRD\train\image_data\1623697275934.png,OFRD\train\gt_image\1623697275934_fillcolor.png
OFRD\train\image_data\1620330547842.png,OFRD\train\gt_image\1620330547842_fillcolor.png
OFRD\train\image_data\1623697283791.png,OFRD\train\gt_image\1623697283791_fillcolor.png
OFRD\train\image_data\1620497393115.png,OFRD\train\gt_image\1620497393115_fillcolor.png
OFRD\train\image_data\1623734165813.png,OFRD\train\gt_image\1623734165813_fillcolor.png
