image_path,gt_path
OFRD/train/image_data/1619778700681.png,OFRD\train\gt_image\1619778700681_fillcolor.png
OFRD/train/image_data/1619778700874.png,OFRD\train\gt_image\1619778700874_fillcolor.png
OFRD/train/image_data/1619778701077.png,OFRD\train\gt_image\1619778701077_fillcolor.png
OFRD/train/image_data/1619778701260.png,OFRD\train\gt_image\1619778701260_fillcolor.png
OFRD/train/image_data/1619778701457.png,OFRD\train\gt_image\1619778701457_fillcolor.png
OFRD/train/image_data/1619778701668.png,OFRD\train\gt_image\1619778701668_fillcolor.png
OFRD/train/image_data/1619778701850.png,OFRD\train\gt_image\1619778701850_fillcolor.png
OFRD/train/image_data/1619778702054.png,OFRD\train\gt_image\1619778702054_fillcolor.png
OFRD/train/image_data/1619778702272.png,OFRD\train\gt_image\1619778702272_fillcolor.png
OFRD/train/image_data/1619778702456.png,OFRD\train\gt_image\1619778702456_fillcolor.png
OFRD/train/image_data/1619778702668.png,OFRD\train\gt_image\1619778702668_fillcolor.png
OFRD/train/image_data/1619778702843.png,OFRD\train\gt_image\1619778702843_fillcolor.png
OFRD/train/image_data/1619778703085.png,OFRD\train\gt_image\1619778703085_fillcolor.png
OFRD/train/image_data/1619778703267.png,OFRD\train\gt_image\1619778703267_fillcolor.png
OFRD/train/image_data/1619778703557.png,OFRD\train\gt_image\1619778703557_fillcolor.png
OFRD/train/image_data/1619778703753.png,OFRD\train\gt_image\1619778703753_fillcolor.png
OFRD/train/image_data/1619778704052.png,OFRD\train\gt_image\1619778704052_fillcolor.png
OFRD/train/image_data/1619778704248.png,OFRD\train\gt_image\1619778704248_fillcolor.png
OFRD/train/image_data/1619778704476.png,OFRD\train\gt_image\1619778704476_fillcolor.png
OFRD/train/image_data/1619778704754.png,OFRD\train\gt_image\1619778704754_fillcolor.png
OFRD/train/image_data/1619778704955.png,OFRD\train\gt_image\1619778704955_fillcolor.png
OFRD/train/image_data/1619778705149.png,OFRD\train\gt_image\1619778705149_fillcolor.png
OFRD/train/image_data/1619778705369.png,OFRD\train\gt_image\1619778705369_fillcolor.png
OFRD/train/image_data/1619778705563.png,OFRD\train\gt_image\1619778705563_fillcolor.png
OFRD/train/image_data/1619778705756.png,OFRD\train\gt_image\1619778705756_fillcolor.png
OFRD/train/image_data/1619778705962.png,OFRD\train\gt_image\1619778705962_fillcolor.png
OFRD/train/image_data/1619778706196.png,OFRD\train\gt_image\1619778706196_fillcolor.png
OFRD/train/image_data/1619778706351.png,OFRD\train\gt_image\1619778706351_fillcolor.png
OFRD/train/image_data/1619778706555.png,OFRD\train\gt_image\1619778706555_fillcolor.png
OFRD/train/image_data/1619778706754.png,OFRD\train\gt_image\1619778706754_fillcolor.png
OFRD/train/image_data/1619778706992.png,OFRD\train\gt_image\1619778706992_fillcolor.png
OFRD/train/image_data/1619778707166.png,OFRD\train\gt_image\1619778707166_fillcolor.png
OFRD/train/image_data/1619778707370.png,OFRD\train\gt_image\1619778707370_fillcolor.png
OFRD/train/image_data/1619778707560.png,OFRD\train\gt_image\1619778707560_fillcolor.png
OFRD/train/image_data/1619778707764.png,OFRD\train\gt_image\1619778707764_fillcolor.png
OFRD/train/image_data/1619778707957.png,OFRD\train\gt_image\1619778707957_fillcolor.png
OFRD/train/image_data/1619778708157.png,OFRD\train\gt_image\1619778708157_fillcolor.png
OFRD/train/image_data/1619778708377.png,OFRD\train\gt_image\1619778708377_fillcolor.png
OFRD/train/image_data/1619778708573.png,OFRD\train\gt_image\1619778708573_fillcolor.png
OFRD/train/image_data/1619778708748.png,OFRD\train\gt_image\1619778708748_fillcolor.png
OFRD/train/image_data/1619778708977.png,OFRD\train\gt_image\1619778708977_fillcolor.png
OFRD/train/image_data/1619778709182.png,OFRD\train\gt_image\1619778709182_fillcolor.png
OFRD/train/image_data/1619778709371.png,OFRD\train\gt_image\1619778709371_fillcolor.png
OFRD/train/image_data/1619778709677.png,OFRD\train\gt_image\1619778709677_fillcolor.png
OFRD/train/image_data/1619778709987.png,OFRD\train\gt_image\1619778709987_fillcolor.png
OFRD/train/image_data/1619778710157.png,OFRD\train\gt_image\1619778710157_fillcolor.png
OFRD/train/image_data/1619778710360.png,OFRD\train\gt_image\1619778710360_fillcolor.png
OFRD/train/image_data/1619778710594.png,OFRD\train\gt_image\1619778710594_fillcolor.png
OFRD/train/image_data/1619778710760.png,OFRD\train\gt_image\1619778710760_fillcolor.png
OFRD/train/image_data/1619778710959.png,OFRD\train\gt_image\1619778710959_fillcolor.png
OFRD/train/image_data/1619778711177.png,OFRD\train\gt_image\1619778711177_fillcolor.png
OFRD/train/image_data/1619778711460.png,OFRD\train\gt_image\1619778711460_fillcolor.png
OFRD/train/image_data/1619778711758.png,OFRD\train\gt_image\1619778711758_fillcolor.png
OFRD/train/image_data/1619778711967.png,OFRD\train\gt_image\1619778711967_fillcolor.png
OFRD/train/image_data/1619778712161.png,OFRD\train\gt_image\1619778712161_fillcolor.png
OFRD/train/image_data/1619778712478.png,OFRD\train\gt_image\1619778712478_fillcolor.png
OFRD/train/image_data/1619778712676.png,OFRD\train\gt_image\1619778712676_fillcolor.png
OFRD/train/image_data/1619778712865.png,OFRD\train\gt_image\1619778712865_fillcolor.png
OFRD/train/image_data/1619778713081.png,OFRD\train\gt_image\1619778713081_fillcolor.png
OFRD/train/image_data/1619778713261.png,OFRD\train\gt_image\1619778713261_fillcolor.png
OFRD/train/image_data/1619778713506.png,OFRD\train\gt_image\1619778713506_fillcolor.png
OFRD/train/image_data/1619778713658.png,OFRD\train\gt_image\1619778713658_fillcolor.png
OFRD/train/image_data/1619778713857.png,OFRD\train\gt_image\1619778713857_fillcolor.png
OFRD/train/image_data/1619778714150.png,OFRD\train\gt_image\1619778714150_fillcolor.png
OFRD/train/image_data/1619778714376.png,OFRD\train\gt_image\1619778714376_fillcolor.png
OFRD/train/image_data/1619778714566.png,OFRD\train\gt_image\1619778714566_fillcolor.png
OFRD/train/image_data/1619778714774.png,OFRD\train\gt_image\1619778714774_fillcolor.png
OFRD/train/image_data/1619778714967.png,OFRD\train\gt_image\1619778714967_fillcolor.png
OFRD/train/image_data/1619778715181.png,OFRD\train\gt_image\1619778715181_fillcolor.png
OFRD/train/image_data/1619778715380.png,OFRD\train\gt_image\1619778715380_fillcolor.png
OFRD/train/image_data/1619778715564.png,OFRD\train\gt_image\1619778715564_fillcolor.png
OFRD/train/image_data/1619778715762.png,OFRD\train\gt_image\1619778715762_fillcolor.png
OFRD/train/image_data/1619778715984.png,OFRD\train\gt_image\1619778715984_fillcolor.png
OFRD/train/image_data/1619778716175.png,OFRD\train\gt_image\1619778716175_fillcolor.png
OFRD/train/image_data/1619778716358.png,OFRD\train\gt_image\1619778716358_fillcolor.png
OFRD/train/image_data/1619778716564.png,OFRD\train\gt_image\1619778716564_fillcolor.png
OFRD/train/image_data/1619778716780.png,OFRD\train\gt_image\1619778716780_fillcolor.png
OFRD/train/image_data/1619778717088.png,OFRD\train\gt_image\1619778717088_fillcolor.png
OFRD/train/image_data/1619778717383.png,OFRD\train\gt_image\1619778717383_fillcolor.png
OFRD/train/image_data/1619778717593.png,OFRD\train\gt_image\1619778717593_fillcolor.png
OFRD/train/image_data/1619778717866.png,OFRD\train\gt_image\1619778717866_fillcolor.png
OFRD/train/image_data/1619778718076.png,OFRD\train\gt_image\1619778718076_fillcolor.png
OFRD/train/image_data/1619778718264.png,OFRD\train\gt_image\1619778718264_fillcolor.png
OFRD/train/image_data/1619778718484.png,OFRD\train\gt_image\1619778718484_fillcolor.png
