image_path,gt_path
OFRD\train\image_data\1623722195757.png,OFRD\train\gt_image\1623722195757_fillcolor.png
OFRD\train\image_data\1623728564464.png,OFRD\train\gt_image\1623728564464_fillcolor.png
OFRD\train\image_data\1620330581503.png,OFRD\train\gt_image\1620330581503_fillcolor.png
OFRD\train\image_data\1623170247166.png,OFRD\train\gt_image\1623170247166_fillcolor.png
OFRD\train\image_data\1619783808324.png,OFRD\train\gt_image\1619783808324_fillcolor.png
OFRD\train\image_data\1623728561560.png,OFRD\train\gt_image\1623728561560_fillcolor.png
OFRD\train\image_data\1623728563660.png,OFRD\train\gt_image\1623728563660_fillcolor.png
OFRD\train\image_data\1623733135913.png,OFRD\train\gt_image\1623733135913_fillcolor.png
OFRD\train\image_data\1623733161217.png,OFRD\train\gt_image\1623733161217_fillcolor.png
OFRD\train\image_data\1623724407388.png,OFRD\train\gt_image\1623724407388_fillcolor.png
OFRD\train\image_data\1623688522601.png,OFRD\train\gt_image\1623688522601_fillcolor.png
OFRD\train\image_data\1623734186622.png,OFRD\train\gt_image\1623734186622_fillcolor.png
OFRD\train\image_data\1623728580261.png,OFRD\train\gt_image\1623728580261_fillcolor.png
OFRD\train\image_data\1623728564259.png,OFRD\train\gt_image\1623728564259_fillcolor.png
OFRD\train\image_data\1620373577785.png,OFRD\train\gt_image\1620373577785_fillcolor.png
OFRD\train\image_data\1623688518501.png,OFRD\train\gt_image\1623688518501_fillcolor.png
OFRD\train\image_data\1623688527198.png,OFRD\train\gt_image\1623688527198_fillcolor.png
OFRD\train\image_data\1624045576861.png,OFRD\train\gt_image\1624045576861_fillcolor.png
OFRD\train\image_data\1619783814720.png,OFRD\train\gt_image\1619783814720_fillcolor.png
OFRD\train\image_data\1623170243715.png,OFRD\train\gt_image\1623170243715_fillcolor.png
OFRD\train\image_data\1619783805112.png,OFRD\train\gt_image\1619783805112_fillcolor.png
OFRD\train\image_data\1623390592323.png,OFRD\train\gt_image\1623390592323_fillcolor.png
OFRD\train\image_data\1623724422301.png,OFRD\train\gt_image\1623724422301_fillcolor.png
OFRD\train\image_data\1619778743975.png,OFRD\train\gt_image\1619778743975_fillcolor.png
OFRD\train\image_data\1623170227018.png,OFRD\train\gt_image\1623170227018_fillcolor.png
OFRD\train\image_data\1623733145878.png,OFRD\train\gt_image\1623733145878_fillcolor.png
OFRD\train\image_data\1623724441899.png,OFRD\train\gt_image\1623724441899_fillcolor.png
OFRD\train\image_data\1624045575063.png,OFRD\train\gt_image\1624045575063_fillcolor.png
OFRD\train\image_data\1623688526103.png,OFRD\train\gt_image\1623688526103_fillcolor.png
OFRD\train\image_data\1623688515375.png,OFRD\train\gt_image\1623688515375_fillcolor.png
OFRD\train\image_data\1623390654739.png,OFRD\train\gt_image\1623390654739_fillcolor.png
OFRD\train\image_data\1619783815820.png,OFRD\train\gt_image\1619783815820_fillcolor.png
OFRD\train\image_data\1623688574469.png,OFRD\train\gt_image\1623688574469_fillcolor.png
OFRD\train\image_data\1623688518699.png,OFRD\train\gt_image\1623688518699_fillcolor.png
OFRD\train\image_data\1620330590028.png,OFRD\train\gt_image\1620330590028_fillcolor.png
OFRD\train\image_data\1623688528198.png,OFRD\train\gt_image\1623688528198_fillcolor.png
OFRD\train\image_data\1623728578663.png,OFRD\train\gt_image\1623728578663_fillcolor.png
OFRD\train\image_data\1623390587431.png,OFRD\train\gt_image\1623390587431_fillcolor.png
OFRD\train\image_data\1623688517501.png,OFRD\train\gt_image\1623688517501_fillcolor.png
OFRD\train\image_data\1623728566460.png,OFRD\train\gt_image\1623728566460_fillcolor.png
OFRD\train\image_data\1620330628944.png,OFRD\train\gt_image\1620330628944_fillcolor.png
OFRD\train\image_data\1623728575461.png,OFRD\train\gt_image\1623728575461_fillcolor.png
OFRD\train\image_data\1623722238015.png,OFRD\train\gt_image\1623722238015_fillcolor.png
OFRD\train\image_data\1623722194836.png,OFRD\train\gt_image\1623722194836_fillcolor.png
OFRD\train\image_data\1623688564117.png,OFRD\train\gt_image\1623688564117_fillcolor.png
OFRD\train\image_data\1623688519994.png,OFRD\train\gt_image\1623688519994_fillcolor.png
OFRD\train\image_data\1624045582463.png,OFRD\train\gt_image\1624045582463_fillcolor.png
OFRD\train\image_data\1623688526508.png,OFRD\train\gt_image\1623688526508_fillcolor.png
OFRD\train\image_data\1623688519402.png,OFRD\train\gt_image\1623688519402_fillcolor.png
OFRD\train\image_data\1623171153757.png,OFRD\train\gt_image\1623171153757_fillcolor.png
OFRD\train\image_data\1623171121263.png,OFRD\train\gt_image\1623171121263_fillcolor.png
OFRD\train\image_data\1623688526702.png,OFRD\train\gt_image\1623688526702_fillcolor.png
OFRD\train\image_data\1623390653450.png,OFRD\train\gt_image\1623390653450_fillcolor.png
OFRD\train\image_data\1624045579262.png,OFRD\train\gt_image\1624045579262_fillcolor.png
OFRD\train\image_data\1623724404685.png,OFRD\train\gt_image\1623724404685_fillcolor.png
OFRD\train\image_data\1619783767671.png,OFRD\train\gt_image\1619783767671_fillcolor.png
OFRD\train\image_data\1624045581664.png,OFRD\train\gt_image\1624045581664_fillcolor.png
OFRD\train\image_data\1619783801822.png,OFRD\train\gt_image\1619783801822_fillcolor.png
OFRD\train\image_data\1623171127169.png,OFRD\train\gt_image\1623171127169_fillcolor.png
OFRD\train\image_data\1623390578203.png,OFRD\train\gt_image\1623390578203_fillcolor.png
OFRD\train\image_data\1623390578586.png,OFRD\train\gt_image\1623390578586_fillcolor.png
OFRD\train\image_data\1623724437211.png,OFRD\train\gt_image\1623724437211_fillcolor.png
OFRD\train\image_data\1623728561760.png,OFRD\train\gt_image\1623728561760_fillcolor.png
OFRD\train\image_data\1620330622829.png,OFRD\train\gt_image\1620330622829_fillcolor.png
OFRD\train\image_data\1623688519195.png,OFRD\train\gt_image\1623688519195_fillcolor.png
OFRD\train\image_data\1620331071327.png,OFRD\train\gt_image\1620331071327_fillcolor.png
OFRD\train\image_data\1623688570181.png,OFRD\train\gt_image\1623688570181_fillcolor.png
OFRD\train\image_data\1623728560761.png,OFRD\train\gt_image\1623728560761_fillcolor.png
OFRD\train\image_data\1623722180357.png,OFRD\train\gt_image\1623722180357_fillcolor.png
OFRD\train\image_data\1623734195580.png,OFRD\train\gt_image\1623734195580_fillcolor.png
OFRD\train\image_data\1624045582662.png,OFRD\train\gt_image\1624045582662_fillcolor.png
OFRD\train\image_data\1623728576559.png,OFRD\train\gt_image\1623728576559_fillcolor.png
OFRD\train\image_data\1623722180067.png,OFRD\train\gt_image\1623722180067_fillcolor.png
OFRD\train\image_data\1623688563344.png,OFRD\train\gt_image\1623688563344_fillcolor.png
OFRD\train\image_data\1623170226807.png,OFRD\train\gt_image\1623170226807_fillcolor.png
OFRD\train\image_data\1624045571664.png,OFRD\train\gt_image\1624045571664_fillcolor.png
OFRD\train\image_data\1623390601097.png,OFRD\train\gt_image\1623390601097_fillcolor.png
OFRD\train\image_data\1623733134184.png,OFRD\train\gt_image\1623733134184_fillcolor.png
OFRD\train\image_data\1623724443989.png,OFRD\train\gt_image\1623724443989_fillcolor.png
OFRD\train\image_data\1623171157193.png,OFRD\train\gt_image\1623171157193_fillcolor.png
OFRD\train\image_data\1623688522399.png,OFRD\train\gt_image\1623688522399_fillcolor.png
OFRD\train\image_data\1623728578963.png,OFRD\train\gt_image\1623728578963_fillcolor.png
OFRD\train\image_data\1623170249205.png,OFRD\train\gt_image\1623170249205_fillcolor.png
OFRD\train\image_data\1624045588460.png,OFRD\train\gt_image\1624045588460_fillcolor.png
OFRD\train\image_data\1623728580861.png,OFRD\train\gt_image\1623728580861_fillcolor.png
OFRD\train\image_data\1623171126867.png,OFRD\train\gt_image\1623171126867_fillcolor.png
OFRD\train\image_data\1624045577264.png,OFRD\train\gt_image\1624045577264_fillcolor.png
OFRD\train\image_data\1624045574061.png,OFRD\train\gt_image\1624045574061_fillcolor.png
OFRD\train\image_data\1620373581379.png,OFRD\train\gt_image\1620373581379_fillcolor.png
OFRD\train\image_data\1620330589720.png,OFRD\train\gt_image\1620330589720_fillcolor.png
OFRD\train\image_data\1620330589216.png,OFRD\train\gt_image\1620330589216_fillcolor.png
OFRD\train\image_data\1623171157624.png,OFRD\train\gt_image\1623171157624_fillcolor.png
OFRD\train\image_data\1623688517095.png,OFRD\train\gt_image\1623688517095_fillcolor.png
OFRD\train\image_data\1620330588316.png,OFRD\train\gt_image\1620330588316_fillcolor.png
OFRD\train\image_data\1623728613388.png,OFRD\train\gt_image\1623728613388_fillcolor.png
OFRD\train\image_data\1623733081992.png,OFRD\train\gt_image\1623733081992_fillcolor.png
OFRD\train\image_data\1620330572722.png,OFRD\train\gt_image\1620330572722_fillcolor.png
OFRD\train\image_data\1620330571621.png,OFRD\train\gt_image\1620330571621_fillcolor.png
OFRD\train\image_data\1623734157245.png,OFRD\train\gt_image\1623734157245_fillcolor.png
OFRD\train\image_data\1623390627840.png,OFRD\train\gt_image\1623390627840_fillcolor.png
OFRD\train\image_data\1624045574466.png,OFRD\train\gt_image\1624045574466_fillcolor.png
OFRD\train\image_data\1623724423697.png,OFRD\train\gt_image\1623724423697_fillcolor.png
OFRD\train\image_data\1623728563366.png,OFRD\train\gt_image\1623728563366_fillcolor.png
OFRD\train\image_data\1624045573464.png,OFRD\train\gt_image\1624045573464_fillcolor.png
OFRD\train\image_data\1623688521199.png,OFRD\train\gt_image\1623688521199_fillcolor.png
OFRD\train\image_data\1620330627041.png,OFRD\train\gt_image\1620330627041_fillcolor.png
OFRD\train\image_data\1623390599474.png,OFRD\train\gt_image\1623390599474_fillcolor.png
OFRD\train\image_data\1624045574863.png,OFRD\train\gt_image\1624045574863_fillcolor.png
OFRD\train\image_data\1623724422069.png,OFRD\train\gt_image\1623724422069_fillcolor.png
OFRD\train\image_data\1623688515894.png,OFRD\train\gt_image\1623688515894_fillcolor.png
OFRD\train\image_data\1623688521999.png,OFRD\train\gt_image\1623688521999_fillcolor.png
OFRD\train\image_data\1623724479036.png,OFRD\train\gt_image\1623724479036_fillcolor.png
OFRD\train\image_data\1623688534204.png,OFRD\train\gt_image\1623688534204_fillcolor.png
OFRD\train\image_data\1623170286722.png,OFRD\train\gt_image\1623170286722_fillcolor.png
OFRD\train\image_data\1620330549343.png,OFRD\train\gt_image\1620330549343_fillcolor.png
OFRD\train\image_data\1623688522201.png,OFRD\train\gt_image\1623688522201_fillcolor.png
OFRD\train\image_data\1623734196960.png,OFRD\train\gt_image\1623734196960_fillcolor.png
OFRD\train\image_data\1620330628346.png,OFRD\train\gt_image\1620330628346_fillcolor.png
OFRD\train\image_data\1623688567133.png,OFRD\train\gt_image\1623688567133_fillcolor.png
OFRD\train\image_data\1623733132240.png,OFRD\train\gt_image\1623733132240_fillcolor.png
OFRD\train\image_data\1623688521598.png,OFRD\train\gt_image\1623688521598_fillcolor.png
OFRD\train\image_data\1623731224542.png,OFRD\train\gt_image\1623731224542_fillcolor.png
OFRD\train\image_data\1623688534604.png,OFRD\train\gt_image\1623688534604_fillcolor.png
OFRD\train\image_data\1623733082519.png,OFRD\train\gt_image\1623733082519_fillcolor.png
OFRD\train\image_data\1623171127723.png,OFRD\train\gt_image\1623171127723_fillcolor.png
OFRD\train\image_data\1623688529405.png,OFRD\train\gt_image\1623688529405_fillcolor.png
OFRD\train\image_data\1623688524097.png,OFRD\train\gt_image\1623688524097_fillcolor.png
OFRD\train\image_data\1623728560559.png,OFRD\train\gt_image\1623728560559_fillcolor.png
OFRD\train\image_data\1623734149446.png,OFRD\train\gt_image\1623734149446_fillcolor.png
OFRD\train\image_data\1623390641969.png,OFRD\train\gt_image\1623390641969_fillcolor.png
OFRD\train\image_data\1620497401117.png,OFRD\train\gt_image\1620497401117_fillcolor.png
OFRD\train\image_data\1624045573062.png,OFRD\train\gt_image\1624045573062_fillcolor.png
